City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Mutare,ZW,2022-04-17 09:56:30,-18.9707,32.6709,74.66,59,77,5.99
107,Faanui,PF,2022-04-17 09:56:30,-16.4833,-151.75,81.25,73,12,12.88
108,Hami,CN,2022-04-17 09:56:31,42.8,93.45,67.17,10,0,4.18
109,Nantucket,US,2022-04-17 09:56:31,41.2835,-70.0995,46.51,89,75,10.36
110,Sitka,US,2022-04-17 09:56:32,57.0531,-135.33,36.61,85,100,2.04
111,Pasni,PK,2022-04-17 09:56:32,25.2631,63.471,84.6,71,84,9.51
112,Rehoboth,NA,2022-04-17 09:56:32,-23.3167,17.0833,79.2,22,1,6.42
113,Qui Nhon,VN,2022-04-17 09:56:33,13.7667,109.2333,80.02,79,48,6.82
114,Sinazongwe,ZM,2022-04-17 09:56:33,-17.2614,27.4618,77.67,72,98,5.91
115,Arraial Do Cabo,BR,2022-04-17 09:56:33,-22.9661,-42.0278,69.66,83,75,9.22
116,Luderitz,NA,2022-04-17 09:56:34,-26.6481,15.1594,77.67,47,0,9.22
117,Woodbridge,US,2022-04-17 09:53:38,40.5576,-74.2846,44.55,75,0,6.91
118,Debre Birhan,ET,2022-04-17 09:56:34,9.6833,39.5333,68.45,35,53,12.75
119,Hobart,AU,2022-04-17 09:54:18,-42.8794,147.3294,65.23,76,75,14.97
120,Vardo,NO,2022-04-17 09:56:35,70.3705,31.1107,38.03,85,99,21.23
121,Tasiilaq,GL,2022-04-17 09:56:35,65.6145,-37.6368,34.29,99,100,2.06
122,Cherskiy,RU,2022-04-17 09:56:36,68.75,161.3,3.4,97,96,6.73
123,Novaya Zaimka,RU,2022-04-17 09:56:36,56.4857,66.9241,44.55,51,44,11.16
124,Bulgan,MN,2022-04-17 09:56:37,48.8125,103.5347,54.05,27,2,4.83
125,Carnarvon,AU,2022-04-17 09:56:37,-24.8667,113.6333,69.87,83,100,17.27
126,Gali,GE,2022-04-17 09:56:37,42.6265,41.7381,73.92,35,26,4.05
127,Vaini,TO,2022-04-17 09:56:38,-21.2,-175.2,75.36,94,40,3.44
128,Severo-Kurilsk,RU,2022-04-17 09:56:38,50.6789,156.125,28.58,78,61,15.39
129,Saldanha,ZA,2022-04-17 09:56:39,-33.0117,17.9442,80.65,55,0,12.64
130,Ekibastuz,KZ,2022-04-17 09:56:39,51.6667,75.3667,71.53,30,69,6.96
131,Buford,US,2022-04-17 09:56:37,34.1207,-84.0043,58.69,96,75,1.99
132,Upernavik,GL,2022-04-17 09:56:39,72.7868,-56.1549,-19.16,98,91,9.89
133,Cape Town,ZA,2022-04-17 09:56:40,-33.9258,18.4232,76.12,44,0,8.05
134,Griffith,US,2022-04-17 09:56:40,41.5284,-87.4237,31.05,93,75,0.0
135,Torbay,CA,2022-04-17 09:57:52,47.6666,-52.7314,45.37,66,75,9.22
136,Butaritari,KI,2022-04-17 09:57:52,3.0707,172.7902,82.0,76,67,14.05
137,Komsomolskiy,UZ,2022-04-17 09:57:52,40.4272,71.7189,84.92,13,93,6.91
138,Togitsu,JP,2022-04-17 09:57:53,32.8333,129.85,66.18,45,0,12.66
139,Avarua,CK,2022-04-17 09:57:53,-21.2078,-159.775,75.25,94,90,4.61
140,Muroto,JP,2022-04-17 09:57:54,33.2833,134.15,59.99,50,0,1.83
141,Mecca,SA,2022-04-17 09:55:26,21.4267,39.8261,104.0,10,0,7.76
142,Grand Gaube,MU,2022-04-17 09:57:54,-20.0064,57.6608,81.37,84,27,7.0
143,Portobelo,PA,2022-04-17 09:57:55,9.55,-79.65,78.96,87,96,7.23
144,Cidreira,BR,2022-04-17 09:57:55,-30.1811,-50.2056,65.19,74,79,5.82
145,Saskylakh,RU,2022-04-17 09:57:55,71.9167,114.0833,28.22,96,100,20.24
146,Provideniya,RU,2022-04-17 09:57:56,64.3833,-173.3,30.38,96,100,13.47
147,Kuito,AO,2022-04-17 09:57:56,-12.3833,16.9333,66.34,77,75,6.91
148,Bensonville,LR,2022-04-17 09:57:56,6.4461,-10.6125,76.55,91,100,1.45
149,Gizo,SB,2022-04-17 09:57:57,-8.103,156.8419,81.99,75,100,5.79
150,Meulaboh,ID,2022-04-17 09:57:57,4.1363,96.1285,82.9,81,62,6.29
151,Sakakah,SA,2022-04-17 09:57:57,29.9697,40.2064,85.57,8,0,5.35
152,Pisco,PE,2022-04-17 09:54:42,-13.7,-76.2167,61.02,88,0,5.75
153,Mitsamiouli,KM,2022-04-17 09:57:58,-11.3847,43.2844,84.16,74,9,9.22
154,Kachiry,KZ,2022-04-17 09:57:58,53.0675,76.1036,66.61,36,100,9.26
155,Awbari,LY,2022-04-17 09:57:59,26.5921,12.7805,70.66,36,5,14.29
156,Berberati,CF,2022-04-17 09:57:59,4.2612,15.7922,92.68,41,71,2.46
157,Deputatskiy,RU,2022-04-17 09:58:00,69.3,139.9,10.2,99,100,3.13
158,Shar,KZ,2022-04-17 09:58:00,49.5886,81.0453,70.75,14,42,10.71
159,Okitipupa,NG,2022-04-17 09:58:00,6.5047,4.7839,95.27,46,87,2.46
160,Lorengau,PG,2022-04-17 09:58:01,-2.0226,147.2712,81.9,80,32,6.24
161,Mitzic,GA,2022-04-17 09:58:01,0.7821,11.549,84.16,61,99,2.53
162,Hermanus,ZA,2022-04-17 09:58:02,-34.4187,19.2345,69.8,52,23,8.41
163,Yanam,IN,2022-04-17 09:58:02,16.7333,82.2167,93.18,49,33,11.79
